QID,Question,Category,Gold,Vanilla,RAG,Improvement,ErrorType,RAGRetrievedChunkIDs,ReasoningPoint,VanillaAnswerRaw,RAGAnswerRaw,Notes,EvidenceInPolicyDocManual,RetrievedCorrectRuleManual,FinalErrorTypeManual
Q-01,제조업을 운영하며 상시 근로자가 딱 10명인 개인사업자입니다. 이번 상생성장지원자금을 신청할 수 있나요?,threshold_boundary,no,no,no,-,correct,"1, 25, 6, 5, 4","소상공인기본법 및 시행계획에 따라 제조업의 소상공인 상시 근로자 수 기준은 '10인 미만'이어야 하므로, 10명인 경우 자격 요건을 충족하지 못함.","아니요, 제조업을 운영하며 상시 근로자가 10명인 개인사업자는 소상공인 기준에 해당하지 않으므로 상생성장지원자금을 신청할 수 없습니다. 제조업의 경우 상시 근로자 수 기준이 10명 미만이어야 합니다.","아니요, 제조업의 경우 상시 근로자 수 기준이 10명 미만이므로, 상시 근로자가 10명인 개인사업자는 지원 대상이 아닙니다.",Both models matched gold decision.,,,
Q-02,직원 6명을 둔 음식점입니다. 소상공인 기준에 부합하여 신청이 가능한가요?,threshold_boundary,no,no,no,-,correct,"25, 15, 4, 18, 0","제조업 등을 제외한 '그 밖의 업종'인 음식점업은 상시 근로자 수가 '5인 미만'이어야 하므로, 6명은 기준을 초과하여 신청이 불가함.","직원 6명을 둔 음식점은 소상공인 기준에 부합하지 않습니다. 음식점은 일반적으로 5인 미만의 상시 근로자 수 기준을 충족해야 하므로, 6명은 초과하여 지원이 불가능합니다.","아니요, 직원 6명을 둔 음식점은 소상공인 기준에 부합하지 않습니다. 음식점은 상시 근로자 수 기준이 5명 미만이어야 하므로, 6명은 지원 대상에서 제외됩니다.",Both models matched gold decision.,,,
Q-03,지역 소상공인들이 모여 만든 비영리 사회적 협동조합입니다. 영리 활동을 하고 있는데 지원 대상이 되나요?,entity_type,no,no,no,-,correct,"15, 0, 1, 4, 31","정책자금 지원 대상은 영리기업으로 한정되며, 비영리 사업자(개인, 법인, 조합 등)는 실질적인 영리 활동 여부와 관계없이 지원 대상에서 제외됨.","비영리 사업자는 소상공인 정책자금 지원 대상에서 제외되므로, 지역 소상공인들이 모여 만든 비영리 사회적 협동조합은 지원 대상이 되지 않습니다.",비영리 사회적 협동조합은 지원 대상에서 제외됩니다. 영리 목적의 사업을 영위하는 기업이어야 지원이 가능합니다.,Both models matched gold decision.,,,
Q-04,현재 일반 유흥주점을 운영 중인 소상공인입니다. 이번 상생성장지원자금 신청이 가능할까요?,industry_restriction,no,no,no,-,correct,"0, 1, 13, 4, 10",표준산업분류상 일반유흥주점업(56211)은 소상공인 정책자금 융자제외 대상 업종에 해당함.,"일반 유흥주점은 정책자금 지원 제외 업종에 해당하므로, 상생성장지원자금 신청이 불가능합니다.",일반 유흥주점은 지원 제외 대상 업종에 해당할 가능성이 높습니다. 따라서 상생성장지원자금 신청이 불가능할 것으로 보입니다.,Both models matched gold decision.,,,
Q-05,온라인 판매는 하지 않고 오프라인 매장만 운영 중인 소상공인입니다. 상생성장지원자금 신청이 가능한가요?,program_track,no,no,no,-,correct,"0, 1, 13, 23, 4","상생성장지원자금은 '온라인 플랫폼 입점 소상공인'을 지원 목적으로 하며, 플랫폼 입점 증빙이 필수 자격 요건임.",온라인 판매를 하지 않고 오프라인 매장만 운영 중인 소상공인은 상생성장지원자금 신청이 불가능합니다. 지원대상은 온라인 플랫폼에 입점한 소상공인으로 한정되어 있기 때문입니다.,온라인 판매를 하지 않고 오프라인 매장만 운영 중인 소상공인은 상생성장지원자금 신청이 불가능합니다. 지원대상은 온라인 플랫폼에 입점한 소상공인에 한정되기 때문입니다.,Both models matched gold decision.,,,
Q-06,지방세가 일부 체납되어 있으나 현재 징수유예 결정을 받은 상태입니다. 자격 요건을 충족하나요?,conditional_exception,yes,yes,yes,-,correct,"8, 23, 9, 11, 2","세금 체납 중이라도 징수유예(납부고지의 유예, 납부기한 등 연장) 승인을 받은 경우에는 예외적으로 대출 신청 자격을 인정함.","네, 지방세가 일부 체납되어 있으나 현재 징수유예 결정을 받은 경우에는 대출신청이 가능합니다.","예, 지방세가 일부 체납되어 있으나 현재 징수유예 결정을 받은 상태라면 대출신청이 가능합니다.",Both models matched gold decision.,,,
Q-07,쿠팡과 상생협약을 맺어 추천을 받은 유망 소상공인입니다. 어떤 트랙으로 신청해야 하나요?,track_matching,selection_required,selection_required,selection_required,-,correct,"0, 1, 2, 8, 4",공단과 상생 협약을 체결한 플랫폼사(쿠팡 등)의 추천을 받은 경우 지원 대상 유형 중 '①-1 (상생형)' 트랙에 해당함.,"쿠팡과 상생협약을 맺어 추천을 받은 유망 소상공인이라면, ①-1 (상생형) 트랙으로 신청해야 합니다.",쿠팡과 상생협약을 맺어 추천을 받은 유망 소상공인은 ①-1 (상생형) 트랙으로 신청해야 합니다.,Both models matched gold decision.,,,
Q-08,최근 4년 동안 일반 소상공인 정책자금을 이미 3번 받았습니다. 이번에 시설자금으로 추가 신청이 될까요?,conditional_exception,yes,no,yes,RAG fixed,vanilla_error,"13, 3, 1, 10, 0","최근 5년 이내 3회 이상 지원받은 경우라도, '시설자금'으로 신청 시에는 1회에 한해 추가 지원이 가능한 예외 규정이 존재함.","아니요, 일반 소상공인 정책자금을 최근 5년 이내에 3회 이상 지원받은 경우, 추가 신청이 불가능합니다. 단, 시설자금의 경우 소상공인 정책자금을 3회 이상 지원받은 기업이라도 1회에 한해 추가 지원이 가능하므로, 시설자금으로 신청할 수 있습니다.","시설자금의 경우, 소상공인 정책자금을 3회 이상 지원받은 기업이라도 1회에 한해 추가 지원이 가능하므로, 이번에 시설자금으로 추가 신청이 가능합니다.",Vanilla failed but RAG matched gold.,,,
Q-09,직원 8명을 둔 운수업 사업자인데 공유오피스 임대업을 부업으로 병행하고 있습니다. 자격이 되나요?,multi_criteria,yes,no,yes,RAG fixed,vanilla_error,"25, 12, 5, 28, 18","운수업은 상시 근로자 10인 미만 기준을 충족하며, 부동산업 중 비주거용건물임대업(공유오피스)은 융자 제외 업종의 예외로 인정되어 신청 가능함.","아니요, 자격이 되지 않습니다. 운수업의 경우 상시 근로자 수 기준이 10명 미만이므로 8명은 해당 기준을 충족하지만, 부업으로 병행하는 공유오피스 임대업이 소상공인 정책자금 지원 제외 업종에 해당할 수 있습니다. 따라서, 업종에 따라 지원 자격이 제한될 수 있습니다.","운수업의 상시 근로자 수 기준은 10명 미만이므로, 직원 8명을 둔 운수업 사업자는 이 기준을 충족합니다. 그러나 부업으로 공유오피스 임대업을 병행하고 있는 경우, 주된 사업이 운수업이므로 자격이 됩니다. 따라서 자격이 있습니다.",Vanilla failed but RAG matched gold.,,,
Q-10,2개월 전 카드 대금 연체가 5일간 있었으나 지금은 모두 갚았습니다. 신용 정보상 결격 사유인가요?,temporal_condition,no,yes,no,RAG fixed,vanilla_error,"8, 9, 6, 33, 10","연체 결격 기준은 최근 3개월 내 '30일 이상 1회' 또는 '10일 이상 4회'이므로, 5일간 1회의 연체 기록은 신청 제한 사유에 해당하지 않음.","2개월 전 카드 대금 연체가 5일간 있었으나 지금은 모두 갚았다면, 신용 정보상 결격 사유가 될 수 있습니다. 특히, 최근 3개월 이내에 30일 이상 연체가 발생한 경우에는 결격 사유로 간주됩니다. 5일간의 연체는 30일 이상이 아니므로, 현재로서는 결격 사유가 아닐 가능성이 높습니다. 그러나 신용 정보 등록 여부는 구체적인 상황에 따라 다를 수 있으므로, 정확한 확인이 필요합니다.","2개월 전 카드 대금 연체가 5일간 있었으나 지금은 모두 갚았다면, 신용 정보상 결격 사유에 해당하지 않습니다. 연체가 30일 이상 지속되지 않았기 때문입니다.",Vanilla failed but RAG matched gold.,,,
Q-11,직원이 9명인 건설업체 개인사업자입니다. 상시 근로자 수 기준을 충족하여 신청이 가능한가요?,threshold_boundary,yes,no,no,none,reasoning_or_source_gap,"5, 25, 18, 6, 26",건설업은 상시 근로자 수 '10인 미만'이 소상공인 기준이므로 9명은 자격 요건을 충족함.,"신청이 불가능합니다. 건설업체의 경우 상시 근로자 수 기준이 10명 미만이어야 하므로, 직원이 9명인 경우에는 기준을 충족하지 않습니다.","아니요, 건설업체의 경우 상시 근로자 수 기준은 10명 미만이어야 하므로, 직원이 9명인 경우 기준을 충족하지 않습니다.",Both models wrong; inspect policy.docx completeness and rule application.,,,
Q-12,부동산업 중 공유오피스를 운영하고 있습니다. 지원 대상 업종에 해당하나요?,industry_restriction,yes,no,uncertain,none,source_gap_or_retrieval_insufficiency,"1, 15, 4, 0, 13","부동산업(68)은 원칙적으로 제외이나, 비주거용건물임대업(68112) 중 공유오피스 및 공유주방 영위 시 예외적으로 허용됨.",부동산업 중 공유오피스는 정책자금 지원 제외 업종에 해당할 수 있습니다. 따라서 지원 대상 업종에 해당하지 않을 가능성이 높습니다.,"제공된 정보에는 부동산업 중 공유오피스에 대한 구체적인 언급이 없으므로, 지원 대상 업종에 해당하는지 여부를 판단할 수 없습니다.",RAG responded uncertain despite retrieved chunks; source completeness should be checked.,,,
Q-13,외국법인의 한국 지점(Branch)을 운영 중인 소상공인입니다. 신청 자격이 있나요?,entity_type,no,no,no,-,correct,"21, 0, 1, 4, 24",정책자금 지원 대상에서 외국법인의 본·지점 및 영리법인의 지점은 명시적으로 제외됨.,외국법인의 한국 지점은 지원 제외 대상입니다. 따라서 신청 자격이 없습니다.,신청 자격이 없습니다. 외국법인의 본·지점은 지원 제외 대상입니다.,Both models matched gold decision.,,,
Q-14,특별재난지역에 소재한 약국입니다. 제외 업종이지만 예외적으로 지원이 가능한가요?,conditional_exception,yes,no,yes,RAG fixed,vanilla_error,"8, 1, 11, 23, 15",약국은 제외 업종이나 '특별재난지역 소재' 시 예외적으로 재해자금 지원 대상에 포함됨.,"제공된 맥락에서는 특별재난지역에 소재한 약국이 지원 제외 업종에 해당하지만, 예외적으로 지원이 가능한지에 대한 정보는 명시되어 있지 않습니다. 따라서, 해당 질문에 대한 명확한 답변은 없습니다.","제공된 맥락에서는 특별재난지역에 소재한 약국에 대한 지원 가능성에 대한 정보가 없습니다. 따라서, 이 질문에 대한 답변은 없습니다.",Vanilla failed but RAG matched gold.,,,
Q-15,지방세를 체납 중이나 현재 '징수유예' 승인을 받은 상태입니다. 신청이 가능할까요?,financial_restriction,yes,yes,yes,-,correct,"8, 4, 23, 10, 1",지방세징수법에 따른 징수유예(납부기한 연장 포함)를 받은 경우 대출 신청이 가능한 예외에 해당함.,신청 가능합니다. 지방세 체납 중 '징수유예' 승인을 받은 경우 대출신청이 가능하다고 명시되어 있습니다.,신청이 가능합니다. 체납처분유예(압류‧매각유예) 또는 징수특례의 경우 대출신청이 가능하다고 명시되어 있습니다.,Both models matched gold decision.,,,
Q-16,최근 3개월 내에 15일간 연체가 1회 있었습니다. 이 경우 신청이 제한되나요?,temporal_condition,no,yes,uncertain,none,source_gap_or_retrieval_insufficiency,"8, 6, 13, 9, 33","최근 3개월 내 '30일 이상 1회' 또는 '10일 이상 4회'부터 제한되므로, 15일 1회 연체는 신청이 가능함.","네, 최근 3개월 내에 15일간 연체가 1회 발생한 경우, 대출신청이 제한됩니다.","최근 3개월 내에 15일간 연체가 1회 발생한 경우, 연체 기준에 해당하지 않으므로 신청이 제한되지 않습니다. 연체가 30일 이상이거나 10일 이상 연체가 4회 이상 발생해야 신청이 제한됩니다.",RAG responded uncertain despite retrieved chunks; source completeness should be checked.,,,
Q-17,부채비율이 800%이지만 사업을 시작한 지 5년 되었습니다. 신청 자격이 있나요?,financial_restriction,yes,no,no,none,reasoning_or_source_gap,"11, 33, 10, 16, 8",부채비율 700% 초과 제한 규정은 업력 7년 이하 업체에 대해서는 적용하지 않음.,"부채비율이 800%인 경우, 지원 자격이 없습니다. 부채비율이 700%를 초과하는 업체는 대출 지원이 제한되며, 업력에 관계없이 해당 규정이 적용됩니다.","신청 자격이 없습니다. 부채비율이 700%를 초과하는 경우, 업력 7년 이하 업체에 대해서는 적용하지 않기 때문입니다.",Both models wrong; inspect policy.docx completeness and rule application.,,,
Q-18,법인격이 없는 친목 조합 형태의 사업자입니다. 지원 대상인가요?,entity_type,no,no,no,-,correct,"1, 4, 25, 10, 12",법인격 없는 조합은 비영리사업자로 간주되어 정책자금 지원 대상에서 제외됨.,법인격이 없는 친목 조합 형태의 사업자는 지원 대상에서 제외됩니다.,법인격이 없는 친목 조합 형태의 사업자는 지원 대상이 아닙니다.,Both models matched gold decision.,,,
Q-19,최근 5년 내 정책자금을 3번 받았습니다. 이번에 '시설자금'으로 신청하면 추가 지원이 가능한가요?,conditional_exception,yes,yes,yes,-,correct,"13, 1, 10, 3, 25",3회 이상 지원 업체라 하더라도 시설자금 신청 시에는 1회에 한해 추가 지원이 가능함.,"네, 시설자금의 경우 소상공인 정책자금을 3회 이상 지원받은 기업이라도 1회에 한해 추가 지원이 가능합니다.","네, 시설자금의 경우 소상공인 정책자금을 3회 이상 지원받은 기업이라도 1회에 한해 추가 지원이 가능합니다.",Both models matched gold decision.,,,
Q-20,25년 TOPS 프로그램 1단계(플랫폼 진출)에 선정되었습니다. TOPS형으로 신청 가능한가요?,program_track,no,selection_required,selection_required,none,reasoning_or_source_gap,"0, 4, 25, 5, 18",TOPS형 자격은 25년 TOPS 프로그램 중 반드시 '2단계(플랫폼 판매촉진)'에 선정된 경우에만 인정됨.,"네, 25년 TOPS 프로그램 1단계(플랫폼 진출)에 선정되었다면 TOPS형으로 신청 가능합니다.","네, 25년 TOPS 프로그램에 선정되었다면 TOPS형으로 신청 가능합니다.",Both models wrong; inspect policy.docx completeness and rule application.,,,
